"code","type","firma","bulstat","fobshtina","fgrad","vei","vobshtina","vgrad","moshtnost","vavejdane","geo"
"КОСО01СЕ0000","СЕ","”Консулт Солар” ЕООД",200529596,"Столична","София","ФтЕЦ ”Изток 1”","Харманли","с. Остър Камък",2.5,300811,"41.89194,25.84578"
"КОСО02СЕ0000","СЕ","”Консулт Солар” ЕООД",200529596,"Столична","София","ФтЕЦ ”Запад 2”","Харманли","с. Остър Камък",2.5,300811,"41.88745,25.84980"
"ЕКБГ01ВЕ0000","ВЕ","”Екоенерджи БГ” ООД",131445476,"Столична","София","ВтЕЦ ”Могилище - Север”","Каварна","с. Могилище",2,140508,"43.49147,28.34816"
"ВОЛТ01СЕ0000","СЕ","”Волтпанел” ООД",200861164,"Айтос","Айтос","ФтЕЦ ”Волтпанел”","Айтос","с. Зетьово",0.135,290711,"42.75715,27.22678"
"ПЕЕЧ01СЕ0000","СЕ","”Пелитеч” ООД",200933959,"Бургас","Бургас","ФтЕЦ ”Пелитеч”","Айтос","с. Зетьово",0.1287,290711,"42.75797,27.22570"
"ДРАЧ01СЕ0000","СЕ","”Еко Драчево” ЕООД",200835689,"Столична","София","ФтЕЦ ”Еко Драчево”","Средец","с. Драчево",3.552,310810,"42.33884,27.26330"
"ЕЛПР01ВД0000","ВД","”Елпро-Ес” ООД",101592926,"Сандански","Сандански","МВЕЦ ”Ярчова скала”","Сандански","с. Кашина",0.67,181105,"41.54785,23.46819"
"КАС701ВД0000","ВД","”Касиопея 7” ЕООД",131261960,"Столична","София","МВЕЦ ”Моста”","Върбица","Върбица",2.21,230810,"43.00088,26.67343"
"КА7001ВД0000","ВД","”Касиопея 7” ЕООД",131261960,"Столична","София","МВЕЦ ”Моста”","Върбица","Върбица",2.21,230810,"43.00088,26.67343"
"КАС701ВД0000","ВД","”Касиопея 7” ЕООД",131261960,"Столична","София","МВЕЦ ”Моста”","Върбица","Върбица",2.21,230810,"43.00088,26.67343"
"ЕЛПР02ВД0000","ВД","”Елпро-Ес” ООД",101592926,"Сандански","Сандански","МВЕЦ ”Кашина”","Сандански","с. Кашина",0.47,121104,"41.54757,23.46808"
"НЕЕН01ВЕ0000","ВЕ","”Нейчъръл Енерджи” ЕООД",148122730,"Варна","Варна","ВтЕЦ ”Нейчъръл Енерджи - 1”","Каварна","Каварна",1.5,151010,"43.42319,28.34395"
"АЙС101ВЕ0000","ВЕ","”Айс” ЕООД",103311406,"Варна","Варна","ВтЕЦ ”Айс - 1”","Шабла","с. Горичане",1.5,81009,"43.53000,28.45596"
"ВТКМ01ВЕ0000","ВЕ","”Ветроком” ЕООД",123669485,"Столична","София","ВтЕЦ ”Ветроком”","Казанлък","с. Енина",50,290710,"42.67391,25.40075"
"ДИКС01СЕ0000","СЕ","”Дивелекс” ЕООД",200167147,"Елхово","Елхово","ФтЕЦ ”Дивелекс - Кирилово”","Елхово","с. Кирилово",0.036,90310,"42.22076,26.61807"
